Kecamatan;URL; Price ;Kamar Tidur;Kamar Mandi;Luas Tanah;Luas Bangunan;Sertifikat;Daya Listrik;Ruang Makan;Ruang Tamu;Kondisi Perabotan;Jumlah Lantai;Hadap;Terjangkau Internet;Lebar Jalan;Sumber Air;Hook;Kondisi Properti;ID Iklan
wonokromo;https://www.rumah123.com/properti/surabaya/hos10785157/; 600.000.000 ;3;2;45;70;SHM - Sertifikat Hak Milik;1300;Tidak;Tidak;Unfurnished;2;Barat;Tidak;;;Tidak;Baru;hos10785157
rungkut;https://www.rumah123.com/properti/surabaya/hos14967398/; 600.000.000 ;3;2;48;2023;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;2;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru;hos14967398
semampir;https://www.rumah123.com/properti/surabaya/hos14975276/; 600.000.000 ;3;3;48;85;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;3;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus;hos14975276
pakal;https://www.rumah123.com/properti/surabaya/hos11538329/; 600.000.000 ;2;1;50;91;HGB - Hak Guna Bangunan;1300;Ya;Ya;Unfurnished;1;Barat;Ya;2 Mobil;Sumur Pompa;Ya;Baru;hos11538329
gayungan;https://www.rumah123.com/properti/surabaya/hos14770370/; 600.000.000 ;2;2;51;50;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;;;Tidak;;PAM atau PDAM;Tidak;Baru;hos14770370
rungkut;https://www.rumah123.com/properti/surabaya/hos14670567/; 600.000.000 ;2;1;60;60;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;1;;Ya;2 Mobil;PAM atau PDAM;Tidak;Sudah Renovasi;hos14670567
tambaksari;https://www.rumah123.com/properti/surabaya/hos15150699/; 600.000.000 ;3;2;60;120;Lainnya (PPJB,Girik,Adat,dll);1300;Ya;Ya;Unfurnished;2;;Ya;4 Mobil;PAM atau PDAM;Tidak;Baru;hos15150699
benowo;https://www.rumah123.com/properti/surabaya/hos12000059/; 600.000.000 ;3;1;64;100;SHM - Sertifikat Hak Milik;;;Tidak;Unfurnished;1;Selatan;Tidak;;;Tidak;Baru;hos12000059
sambikerep;https://www.rumah123.com/properti/surabaya/hos14629442/; 600.000.000 ;2;1;65;65;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;1;;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru;hos14629442
wonokromo;https://www.rumah123.com/properti/surabaya/hos15214562/; 600.000.000 ;2;1;67;67;SHM - Sertifikat Hak Milik;900;Ya;Ya;Unfurnished;2;Barat;Ya;1 Mobil;PAM atau PDAM;Tidak;Bagus;hos15214562
benowo;https://www.rumah123.com/properti/surabaya/hos13687118/; 600.000.000 ;3;2;72;60;SHM - Sertifikat Hak Milik;1300;;Tidak;Unfurnished;2;Barat;Ya;2 Mobil;;Tidak;Bagus;hos13687118
benowo;https://www.rumah123.com/properti/surabaya/hos10377687/; 600.000.000 ;2;1;72;72;HGB - Hak Guna Bangunan;2200;;;Unfurnished;2;Selatan;;;;;Baru;hos10377687
rungkut;https://www.rumah123.com/properti/surabaya/hos15355118/; 600.000.000 ;1;2;72;72;SHM - Sertifikat Hak Milik;1300;Tidak;Tidak;Unfurnished;1;Utara;Tidak;;PAM atau PDAM;Tidak;Bagus;hos15355118
rungkut;https://www.rumah123.com/properti/surabaya/hos14840573/; 600.000.000 ;2;1;72;60;HGB - Hak Guna Bangunan;1300;Tidak;Tidak;Unfurnished;1;Selatan;Tidak;2 Mobil;PAM atau PDAM;Tidak;;hos14840573
rungkut;https://www.rumah123.com/properti/surabaya/hos14727004/; 600.000.000 ;1;2;72;72;SHM - Sertifikat Hak Milik;1300;Tidak;Tidak;Unfurnished;1;Utara;Tidak;1 Mobil;PAM atau PDAM;Tidak;;hos14727004
rungkut;https://www.rumah123.com/properti/surabaya/hos14306023/; 600.000.000 ;2;1;72;60;Lainnya (PPJB,Girik,Adat,dll);;Tidak;Tidak;Unfurnished;1;Selatan;Tidak;;PAM atau PDAM;Tidak;Bagus;hos14306023
sambikerep;https://www.rumah123.com/properti/surabaya/hos13469989/; 600.000.000 ;3;2;72;60;Lainnya (PPJB,Girik,Adat,dll);1300;Tidak;Tidak;Unfurnished;1;Barat;Tidak;;PAM atau PDAM;Tidak;Bagus;hos13469989
sambikerep;https://www.rumah123.com/properti/surabaya/hos14379424/; 600.000.000 ;2;1;81;63;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;1;;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru;hos14379424
sambikerep;https://www.rumah123.com/properti/surabaya/hos13752941/; 600.000.000 ;2;1;84;61;SHM - Sertifikat Hak Milik;2200;;Ya;Unfurnished;1;;Ya;;PAM atau PDAM;Tidak;Baru;hos13752941
benowo;https://www.rumah123.com/properti/surabaya/hos14707918/; 600.000.000 ;3;2;90;60;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;;Tidak;;PAM atau PDAM;Tidak;Baru;hos14707918
lakarsantri;https://www.rumah123.com/properti/surabaya/hos15077749/; 600.000.000 ;4;2;90;90;SHM - Sertifikat Hak Milik;1300;Tidak;Tidak;Unfurnished;1;;Ya;;PAM atau PDAM;Tidak;Baru;hos15077749
tambaksari;https://www.rumah123.com/properti/surabaya/hos14494206/; 600.000.000 ;7;1;91;91;SHM - Sertifikat Hak Milik;900;Tidak;Tidak;Unfurnished;1;Timur;Ya;1 Mobil;Sumur Bor;Tidak;Bagus;hos14494206
tandes;https://www.rumah123.com/properti/surabaya/hos10444618/; 600.000.000 ;4;2;91;120;SHM - Sertifikat Hak Milik;;;Tidak;Unfurnished;2;;Tidak;;;Tidak;Bagus;hos10444618
tenggilis mejoyo;https://www.rumah123.com/properti/surabaya/hos11540242/; 600.000.000 ;2;1;91;50;HGB - Hak Guna Bangunan;1300;Ya;Ya;Unfurnished;1;Selatan;Ya;2 Mobil;PAM atau PDAM;Ya;Baru;hos11540242
